rank,compound_id,vina_score_kcal_mol,class,measured_potency_nM
1,CHEMBL39161,-8.01,active,602.56
2,CHEMBL17645,-7.98,decoy,
3,CHEMBL5076256,-7.86,active,49.0
4,CHEMBL12801,-7.66,decoy,
5,CHEMBL17521,-7.61,decoy,
6,CHEMBL274781,-7.59,decoy,
7,CHEMBL17515,-7.58,decoy,
8,CHEMBL13120,-7.57,decoy,
9,CHEMBL17225,-7.53,decoy,
10,CHEMBL6218,-7.53,decoy,
11,CHEMBL5084365,-7.5,active,47.0
12,CHEMBL556465,-7.46,active,200.0
13,CHEMBL276206,-7.4,decoy,
14,CHEMBL12312,-7.38,decoy,
15,CHEMBL12662,-7.38,decoy,
16,CHEMBL273982,-7.38,decoy,
17,CHEMBL17911,-7.37,decoy,
18,CHEMBL10871,-7.35,decoy,
19,CHEMBL267386,-7.35,decoy,
20,CHEMBL440084,-7.34,decoy,
21,CHEMBL13032,-7.28,decoy,
22,CHEMBL11341,-7.27,decoy,
23,CHEMBL17254,-7.26,decoy,
24,CHEMBL17344,-7.26,decoy,
25,CHEMBL17781,-7.25,decoy,
26,CHEMBL269341,-7.25,decoy,
27,CHEMBL441598,-7.25,decoy,
28,CHEMBL17475,-7.24,decoy,
29,CHEMBL12933,-7.22,decoy,
30,CHEMBL418549,-7.2,decoy,
31,CHEMBL10914,-7.19,decoy,
32,CHEMBL267555,-7.19,decoy,
33,CHEMBL17505,-7.18,decoy,
34,CHEMBL12491,-7.17,decoy,
35,CHEMBL26804,-7.17,decoy,
36,CHEMBL3233094,-7.16,active,8200.0
37,CHEMBL6321,-7.16,decoy,
38,CHEMBL273452,-7.15,decoy,
39,CHEMBL273421,-7.13,decoy,
40,CHEMBL6250,-7.1,decoy,
41,CHEMBL283211,-7.09,decoy,
42,CHEMBL9682,-7.09,decoy,
43,CHEMBL105708,-7.08,active,274.0
44,CHEMBL3907022,-7.08,active,0.44
45,CHEMBL6279,-7.08,decoy,
46,CHEMBL268051,-7.05,decoy,
47,CHEMBL428493,-7.03,decoy,
48,CHEMBL430280,-7.02,decoy,
49,CHEMBL12533,-7.0,decoy,
50,CHEMBL267228,-7.0,decoy,
51,CHEMBL7939,-7.0,decoy,
52,CHEMBL6351,-6.97,decoy,
53,CHEMBL7640,-6.97,decoy,
54,CHEMBL9332,-6.96,decoy,
55,CHEMBL4557939,-6.95,active,0.8
56,CHEMBL12908,-6.95,decoy,
57,CHEMBL14872,-6.95,decoy,
58,CHEMBL15850,-6.95,decoy,
59,CHEMBL6332,-6.95,decoy,
60,CHEMBL1079068,-6.94,active,6000.0
61,CHEMBL17500,-6.94,decoy,
62,CHEMBL12868,-6.92,decoy,
63,CHEMBL15560,-6.92,decoy,
64,CHEMBL9572,-6.92,decoy,
65,CHEMBL7941,-6.91,decoy,
66,CHEMBL7352,-6.9,decoy,
67,CHEMBL7914,-6.9,decoy,
68,CHEMBL9728,-6.89,decoy,
69,CHEMBL266457,-6.88,decoy,
70,CHEMBL578161,-6.87,active,1410.0
71,CHEMBL6348,-6.87,decoy,
72,CHEMBL268888,-6.86,decoy,
73,CHEMBL418338,-6.86,decoy,
74,CHEMBL2402103,-6.85,active,1200.0
75,CHEMBL4522247,-6.85,active,4.009
76,CHEMBL266960,-6.85,decoy,
77,CHEMBL268013,-6.85,decoy,
78,CHEMBL268868,-6.85,decoy,
79,CHEMBL417998,-6.85,decoy,
80,CHEMBL11285,-6.84,decoy,
81,CHEMBL6358,-6.84,decoy,
82,CHEMBL275009,-6.83,decoy,
83,CHEMBL441172,-6.83,decoy,
84,CHEMBL6328,-6.83,decoy,
85,CHEMBL10986,-6.82,decoy,
86,CHEMBL275278,-6.82,decoy,
87,CHEMBL278238,-6.82,decoy,
88,CHEMBL567783,-6.81,active,1.0
